"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"16"	"02297101"	"1"	"1"	61	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"04"	"2"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	636.77	"5"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	" "	"01"
"16"	"02297111"	"1"	"1"	33	"01"	"  "	2	2	"1"	"01"	"01"	"1"	"01"	"02"	" "	"05"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	902.375	"5"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02297111"	"1"	"2"	31	"02"	"  "	2	2	"2"	"01"	"01"	"2"	"02"	"02"	" "	"06"	"6"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	902.375	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297111"	"1"	"2"	3	"  "	"51"	2	2	"2"	"01"	"01"	"2"	"03"	"02"	" "	"01"	"7"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	902.375	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297111"	"1"	"1"	12	"  "	"52"	2	2	"2"	"01"	"01"	"2"	"03"	"02"	" "	"04"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	902.375	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297121"	"1"	"2"	45	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"07"	"2"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	782.673	"5"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02297121"	"1"	"2"	15	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"03"	"01"	" "	"04"	"4"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	782.673	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297141"	"1"	"2"	55	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"04"	"2"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	748.227	"5"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02298011"	"1"	"1"	42	"01"	"  "	2	2	"1"	"01"	"01"	"1"	"01"	"02"	" "	"05"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	821.06	"5"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"99"
"16"	"02298011"	"1"	"2"	40	"02"	"  "	2	2	"2"	"01"	"01"	"2"	"02"	"02"	" "	"06"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	821.06	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
