"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"14"	"03969061"	"1"	"1"	28	"03"	"  "	4	0	"2"	"01"	"01"	"2"	"03"	"01"	" "	"07"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	669.916	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
"14"	"03969061"	"1"	"1"	21	"04"	"  "	4	0	"2"	"01"	"01"	"2"	"03"	"01"	" "	"08"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	669.916	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
"14"	"03969071"	"1"	"2"	70	"01"	"  "	2	0	"2"	"02"	"02"	"2"	"02"	"01"	" "	"04"	"3"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	496.024	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"02"
"14"	"03969071"	"1"	"1"	69	"02"	"  "	2	0	"1"	"02"	"02"	"1"	"01"	"01"	" "	"04"	"3"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	496.024	"5"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"02"
"14"	"03969081"	"1"	"2"	59	"01"	"  "	2	0	"2"	"02"	"01"	"1"	"01"	"02"	" "	"04"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"463"	"   "	"843"	"   "	"1"	" "	692.189	"5"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"14"	"03969081"	"1"	"1"	54	"02"	"  "	2	0	"1"	"02"	"01"	"2"	"02"	"02"	" "	"04"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"463"	"   "	"843"	"   "	"1"	" "	692.189	"5"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"03"
"14"	"03969111"	"1"	"2"	35	"01"	"  "	2	1	"1"	"01"	"02"	"2"	"02"	"02"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"620"	"   "	"272"	"   "	"1"	" "	566.818	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
"14"	"03969111"	"1"	"1"	35	"02"	"  "	2	1	"2"	"01"	"02"	"1"	"01"	"02"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"620"	"   "	"272"	"   "	"1"	" "	566.818	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"04"
"14"	"03969111"	"1"	"1"	4	"  "	"51"	2	1	"2"	"01"	"02"	"2"	"03"	"02"	" "	"01"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"620"	"   "	"272"	"   "	"1"	" "	566.818	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
"14"	"03969121"	"1"	"2"	31	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"02"	" "	"09"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	782.659	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
